x,y
17.2081,6283.1146
70.9056,376598.7547
91.6058,802291.4965
47.5387,116476.4906
16.28,5377.9859
42.9159,86411.6043
34.1925,44654.7558
43.1201,87615.3948
56.184,189982.815
64.3283,282753.7924
83.0804,601062.7637
7.2491,594.1338
55.298,181328.91
80.108,539747.715
67.5299,326200.4591
26.104,20516.3479
84.0789,622656.5455
43.1071,87538.1994
72.2539,398095.8417
26.0322,20355.193
86.0829,667541.6779
17.5525,6643.1094
96.5984,938711.1079
85.1912,647312.5617
17.8599,6975.7495
76.6873,474520.7808
10.7224,1695.6305
85.6706,658136.2563
10.9645,1802.0171
50.3835,138055.7477
65.5315,298597.2125
25.087,18309.0597
85.3063,649898.686
36.2529,52906.0804
87.9521,711304.3704
77.685,492968.6551
63.5352,272623.2184
54.8495,177049.6789
21.5679,11896.5562
55.2917,181267.7687
9.0634,1076.0903
27.5086,23846.1858
54.0538,169625.4744
22.8442,14011.9101
41.8535,80325.2752
61.5537,248376.2797
77.5888,491170.1573
95.2826,901366.9086
49.8646,133936.2313
57.3644,201933.7138
